date,open,high,low,close,adj close,volume,ticker
2023-01-03,122.81999969482422,126.37000274658203,122.27999877929688,124.73999786376953,123.97572326660156,35528500.0,META
2023-01-04,127.37999725341797,129.0500030517578,125.8499984741211,127.37000274658203,126.58960723876953,32397100.0,META
2023-01-05,126.12999725341797,128.52000427246094,124.54000091552734,126.94000244140625,126.16224670410156,25447100.0,META
2023-01-06,128.97000122070312,130.3300018310547,126.04000091552734,130.02000427246094,129.22340393066406,27584500.0,META
2023-01-09,131.16000366210938,132.9499969482422,129.27999877929688,129.47000122070312,128.67672729492188,26649100.0,META
2023-01-10,127.2699966430664,133.44000244140625,127.1500015258789,132.99000549316406,132.17518615722656,28684400.0,META
2023-01-11,130.9600067138672,133.85000610351562,130.33999633789062,132.88999938964844,132.07577514648438,25423000.0,META
2023-01-12,133.44000244140625,137.67999267578125,131.75999450683594,136.7100067138672,135.87240600585938,30757700.0,META
2023-01-13,134.97000122070312,137.38999938964844,134.83999633789062,136.97999572753906,136.14073181152344,22423800.0,META
2023-01-17,136.17999267578125,136.75,134.25,135.36000061035156,134.53065490722656,21147600.0,META
2023-01-18,135.80999755859375,137.25,132.8000030517578,133.02000427246094,132.2050323486328,20215500.0,META
2023-01-19,132.49000549316406,137.4499969482422,132.13999938964844,136.14999389648438,135.3157958984375,28625200.0,META
2023-01-20,135.88999938964844,139.94000244140625,134.61000061035156,139.3699951171875,138.51608276367188,28688600.0,META
2023-01-23,139.2899932861328,143.75999450683594,138.66000366210938,143.27000427246094,142.39219665527344,27470100.0,META
2023-01-24,141.69000244140625,145.0,141.36000061035156,143.13999938964844,142.26300048828125,21970200.0,META
2023-01-25,141.22000122070312,143.1699981689453,140.30999755859375,141.5,140.6330108642578,26622000.0,META
2023-01-26,144.39999389648438,147.50999450683594,143.3000030517578,147.3000030517578,146.3975067138672,25482100.0,META
2023-01-27,148.24000549316406,153.19000244140625,147.38999938964844,151.74000549316406,150.810302734375,35771900.0,META
2023-01-30,149.41000366210938,151.1199951171875,146.9499969482422,147.05999755859375,146.15896606445312,28040100.0,META
2023-01-31,147.9499969482422,149.8800048828125,147.52000427246094,148.97000122070312,148.05726623535156,29842100.0,META
2023-02-01,148.02999877929688,153.5800018310547,147.05999755859375,153.1199951171875,152.18185424804688,55661000.0,META
2023-02-02,183.3800048828125,197.16000366210938,180.16000366210938,188.77000427246094,187.61341857910156,150475700.0,META
2023-02-03,183.47000122070312,196.77000427246094,182.88999938964844,186.52999877929688,185.38714599609375,76809700.0,META
2023-02-06,186.52999877929688,190.6999969482422,185.52000427246094,186.05999755859375,184.92002868652344,42483800.0,META
2023-02-07,185.5800018310547,193.77999877929688,184.39999389648438,191.6199951171875,190.44595336914062,47080700.0,META
